2020-02-08 22:45:01.510 [  1] I sdkVersion: 1.17.0
configFile /home/pi/build/Integration/AlexaClientSDKConfig.json
Running app with log level: DEBUG9
2020-02-08 22:45:01.534 [  1] 0 ConfigurationNode:initializeSuccess
2020-02-08 22:45:01.550 [  1] 1 InMemoryEqualizerConfiguration:validateConfiguration::Validating Equalizer configuration
2020-02-08 22:45:01.550 [  1] 1 InMemoryEqualizerConfiguration:validateConfiguration::Validating default Equalizer state
2020-02-08 22:45:01.551 [  1] 1 InMemoryEqualizerConfiguration:validateConfiguration::Validating Equalizer configuration
2020-02-08 22:45:01.551 [  1] 1 InMemoryEqualizerConfiguration:validateConfiguration::Validating default Equalizer state
2020-02-08 22:45:01.554 [  1] 9 MediaPlayer:createCalled:name=SpeakMediaPlayer
2020-02-08 22:45:01.659 [  1] 9 MediaPlayer:noOutputConversion:name=SpeakMediaPlayer
2020-02-08 22:45:01.663 [  1] 9 MediaPlayer:createCalled:name=AudioMediaPlayer
2020-02-08 22:45:01.667 [  1] 9 MediaPlayer:noOutputConversion:name=AudioMediaPlayer
2020-02-08 22:45:01.671 [  1] 9 MediaPlayer:createCalled:name=AudioMediaPlayer
2020-02-08 22:45:01.672 [  1] 9 MediaPlayer:noOutputConversion:name=AudioMediaPlayer
2020-02-08 22:45:01.677 [  1] 9 MediaPlayer:createCalled:name=NotificationsMediaPlayer
2020-02-08 22:45:01.678 [  1] 9 MediaPlayer:noOutputConversion:name=NotificationsMediaPlayer
2020-02-08 22:45:01.681 [  1] 9 MediaPlayer:createCalled:name=BluetoothMediaPlayer
2020-02-08 22:45:01.682 [  1] 9 MediaPlayer:noOutputConversion:name=BluetoothMediaPlayer
2020-02-08 22:45:01.685 [  1] 9 MediaPlayer:createCalled:name=RingtoneMediaPlayer
2020-02-08 22:45:01.686 [  1] 9 MediaPlayer:noOutputConversion:name=RingtoneMediaPlayer
2020-02-08 22:45:01.690 [  1] 9 MediaPlayer:createCalled:name=AlertsMediaPlayer
2020-02-08 22:45:01.691 [  1] 9 MediaPlayer:noOutputConversion:name=AlertsMediaPlayer
2020-02-08 22:45:01.694 [  1] 9 MediaPlayer:createCalled:name=SystemSoundMediaPlayer
2020-02-08 22:45:01.695 [  1] 9 MediaPlayer:noOutputConversion:name=SystemSoundMediaPlayer
2020-02-08 22:45:01.699 [  1] 5 SQLiteDeviceSettingStorage:create
2020-02-08 22:45:01.699 [  1] 5 SQLiteBluetoothStorage:create
2020-02-08 22:45:01.701 [  1] 5 CBLAuthDelegate:create
2020-02-08 22:45:01.703 [  1] 5 CBLAuthDelegate:CBLAuthDelegate
2020-02-08 22:45:01.703 [  1] 5 CBLAuthDelegate:init
2020-02-08 22:45:01.703 [  1] 5 CBLAuthDelegateConfiguration:create
2020-02-08 22:45:01.703 [  1] 5 CBLAuthDelegateConfiguration:init
2020-02-08 22:45:01.703 [  1] 5 CBLAuthDelegateConfiguration:initScopeData
2020-02-08 22:45:01.703 [  1] 9 CBLAuthDelegateConfiguration:initScopeDataSucceeded
2020-02-08 22:45:01.704 [  1] 5 SQLiteCBLAuthDelegateStorage:open
2020-02-08 22:45:01.706 [  3] 5 CBLAuthDelegate:handleAuthorizationFlow
2020-02-08 22:45:01.706 [  1] 5 SQLiteCapabilitiesDelegateStorage:create
2020-02-08 22:45:01.706 [  3] 5 CBLAuthDelegate:handleStarting
2020-02-08 22:45:01.706 [  3] 5 SQLiteCBLAuthDelegateStorage:getRefreshToken
2020-02-08 22:45:01.707 [  3] 5 CBLAuthDelegate:handleRefreshingToken
2020-02-08 22:45:01.707 [  1] 5 SQLiteCapabilitiesDelegateStorage:open
2020-02-08 22:45:01.707 [  3] 5 CBLAuthDelegate:requestRefresh
2020-02-08 22:45:01.707 [  1] 5 SQLiteCapabilitiesDelegateStorage:load
2020-02-08 22:45:01.709 [  1] 5 CapabilitiesDelegate:init:num endpoints stored=1
2020-02-08 22:45:01.710 [  1] 5 CBLAuthDelegate:addAuthObserver:observer=0x20b17c4
2020-02-08 22:45:01.711 [  1] 5 CapabilitiesDelegate:addCapabilitiesObserver:observer=0x20b17c8
2020-02-08 22:45:01.712 [  1] 5 InternetConnectionMonitor:startMonitoring
2020-02-08 22:45:01.715 [  5] 5 InternetConnectionMonitor:testConnection
2020-02-08 22:45:01.715 [  5] 9 HTTPContentFetcherFactory:create::Creating a new http content fetcher
2020-02-08 22:45:01.716 [  1] 5 AVSGatewayManager:create
2020-02-08 22:45:01.717 [  5] 9 LibCurlHttpContentFetcher:stateTransition:oldState=INITIALIZED,newState=FETCHING_HEADER:State transition
2020-02-08 22:45:01.717 [  7] 9 LibCurlHttpContentFetcher:transferThread::start
2020-02-08 22:45:01.719 [  7] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2020-02-08 22:45:01.719 [  1] 5 SynchronizeStateSenderFactory:create
